"Date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude"
"1970-06-01,28.15,0.38,Ca Mau,Vietnam,8.84N,104.59E"
"1978-10-01,26.938,0.398,Ca Mau,Vietnam,8.84N,104.59E"
"1987-02-01,26.031,0.26,Ca Mau,Vietnam,8.84N,104.59E"
"1995-06-01,28.529,0.282,Ca Mau,Vietnam,8.84N,104.59E"
"2003-10-01,27.006,0.314,Ca Mau,Vietnam,8.84N,104.59E"
"2012-02-01,27.036,0.157,Ca Mau,Vietnam,8.84N,104.59E"
"1841-09-01,23.801,1.411,Cordoba,Mexico,18.48N,96.34W"
"1850-01-01,21.084,3.248,Cordoba,Mexico,18.48N,96.34W"
"1783-07-01,17.528,2.473,Syzran,Russia,53.84N,47.73E"
"1791-11-01,-3.107,2.753,Syzran,Russia,53.84N,47.73E"
"1800-03-01,-8.273,3.411,Syzran,Russia,53.84N,47.73E"
"1808-07-01,19.461,2.089,Syzran,Russia,53.84N,47.73E"
"1816-11-01,-3.265,7.477,Syzran,Russia,53.84N,47.73E"
"1825-03-01,-6.684,2.576,Syzran,Russia,53.84N,47.73E"
"1833-07-01,19.715,1.667,Syzran,Russia,53.84N,47.73E"
"1841-11-01,-3.259,0.573,Syzran,Russia,53.84N,47.73E"
"1850-03-01,-6.741,3.179,Syzran,Russia,53.84N,47.73E"
"1858-07-01,20.798,1.219,Syzran,Russia,53.84N,47.73E"
"1866-11-01,-2.79,0.515,Syzran,Russia,53.84N,47.73E"
"1959-12-01,-21.723,0.847,Krasnoyarsk,Russia,55.45N,93.54E"
"1968-04-01,1.273,0.451,Krasnoyarsk,Russia,55.45N,93.54E"
"1976-08-01,11.698,0.287,Krasnoyarsk,Russia,55.45N,93.54E"
"1984-12-01,-21.315,0.19,Krasnoyarsk,Russia,55.45N,93.54E"
"1993-04-01,0.619,0.315,Krasnoyarsk,Russia,55.45N,93.54E"
"2001-08-01,15.836,0.343,Krasnoyarsk,Russia,55.45N,93.54E"
"2009-12-01,-19.555,0.464,Krasnoyarsk,Russia,55.45N,93.54E"
"1755-01-01,-3.975,6.304,Krefeld,Germany,50.63N,6.34E"
"1763-05-01,11.169,3.286,Krefeld,Germany,50.63N,6.34E"
"1771-09-01,13.592,2.331,Krefeld,Germany,50.63N,6.34E"
"2003-05-01,18.487,0.228,Kishiwada,Japan,34.56N,136.22E"
"2011-09-01,23.851,0.172,Kishiwada,Japan,34.56N,136.22E"
"1783-05-01,14.899,3.272,Kislovodsk,Russia,44.20N,42.48E"
"1791-09-01,13.753,2.409,Kislovodsk,Russia,44.20N,42.48E"
"1800-01-01,-4.641,2.773,Kislovodsk,Russia,44.20N,42.48E"
"1808-05-01,10.63,2.933,Kislovodsk,Russia,44.20N,42.48E"
"1816-09-01,13.232,1.811,Kislovodsk,Russia,44.20N,42.48E"
"1825-01-01,-4.932,3.601,Kislovodsk,Russia,44.20N,42.48E"
"1833-05-01,11.829,1.608,Kislovodsk,Russia,44.20N,42.48E"
"1841-09-01,14.656,1.32,Kislovodsk,Russia,44.20N,42.48E"
"1980-04-01,8.099,0.275,Volzhskiy,Russia,49.03N,44.08E"
"1988-08-01,21.996,0.18,Volzhskiy,Russia,49.03N,44.08E"
"1996-12-01,-5.998,0.386,Volzhskiy,Russia,49.03N,44.08E"
"2005-04-01,10.154,0.17,Volzhskiy,Russia,49.03N,44.08E"
"2013-08-01,22.964,0.658,Volzhskiy,Russia,49.03N,44.08E"
"1757-01-01,-12.527,2.968,Voronezh,Russia,52.24N,39.42E"
"1765-05-01,13.099,2.283,Voronezh,Russia,52.24N,39.42E"
"1773-09-01,14.039,2.299,Voronezh,Russia,52.24N,39.42E"
"1782-01-01,-9.787,3.895,Voronezh,Russia,52.24N,39.42E"
"1790-05-01,12.639,2.097,Voronezh,Russia,52.24N,39.42E"
"1825-01-01,22.179,2.203,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1846-09-01,23.198,1.357,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1856-09-01,23.246,1.159,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1865-11-01,22.663,1.399,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1874-03-01,24.294,1.997,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1882-07-01,24.345,0.494,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1890-11-01,22.48,0.621,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1899-03-01,23.133,1.021,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1907-07-01,24.443,0.223,Buon Me Thuot,Vietnam,12.05N,108.49E"
"1964-02-01,17.016,0.36,Vinh,Vietnam,18.48N,106.48E"
"1972-06-01,29.692,0.272,Vinh,Vietnam,18.48N,106.48E"
"1980-10-01,25.786,0.27,Vinh,Vietnam,18.48N,106.48E"
